[    3856ms] [LOG]   kampung_bandan: 6 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3880ms] [LOG]   karangantu: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    3936ms] [LOG]   karangantu: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    3963ms] [LOG]   karet: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4007ms] [LOG]   karet: 10 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4031ms] [LOG]   kebayoran: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4075ms] [LOG]   kebayoran: 14 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4110ms] [LOG]   kemayoran: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4159ms] [LOG]   kemayoran: 16 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4192ms] [LOG]   klender: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4259ms] [LOG]   klender: 11 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4330ms] [LOG]   klender_baru: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4379ms] [LOG]   klender_baru: 7 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4424ms] [LOG]   kramat: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4461ms] [LOG]   kramat: 41 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4487ms] [LOG]   kranji: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4523ms] [LOG]   kranji: 1 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4542ms] [LOG]   krenceng: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4570ms] [LOG]   krenceng: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4591ms] [LOG]   lenteng_agung: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4622ms] [LOG]   lenteng_agung: 1 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4644ms] [LOG]   maja: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4678ms] [LOG]   maja: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4707ms] [LOG]   mangga_besar: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4738ms] [LOG]   mangga_besar: 19 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4759ms] [LOG]   manggarai: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4788ms] [LOG]   manggarai: 2 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4808ms] [LOG]   matraman: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4841ms] [LOG]   matraman: 20 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4863ms] [LOG]   metland_telagamurni: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4927ms] [LOG]   metland_telagamurni: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    4957ms] [LOG]   nambo: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    4990ms] [LOG]   nambo: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5012ms] [LOG]   palmerah: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5042ms] [LOG]   palmerah: 1 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5080ms] [LOG]   parungpanjang: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5123ms] [LOG]   parungpanjang: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5144ms] [LOG]   pasar_minggu: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5173ms] [LOG]   pasar_minggu: 1 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5193ms] [LOG]   pasar_minggu_baru: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5225ms] [LOG]   pasar_minggu_baru: 4 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5247ms] [LOG]   pasar_senen: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5289ms] [LOG]   pasar_senen: 14 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5308ms] [LOG]   pesing: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5338ms] [LOG]   pesing: 1 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5358ms] [LOG]   pondok_cina: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5389ms] [LOG]   pondok_cina: 3 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5413ms] [LOG]   pondok_jati: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5588ms] [LOG]   pondok_jati: 23 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5674ms] [LOG]   pondok_rajeg: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5782ms] [LOG]   pondok_rajeg: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5810ms] [LOG]   pondok_ranji: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5839ms] [LOG]   pondok_ranji: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5858ms] [LOG]   poris: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5890ms] [LOG]   poris: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5911ms] [LOG]   rajawali: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    5941ms] [LOG]   rajawali: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    5993ms] [LOG]   rangkasbitung: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    6029ms] [LOG]   rangkasbitung: 0 POIs plotted @ http://localhost:8083/map-check.local.html:79
[    6058ms] [LOG]   rawa_buaya: isochrone rendered @ http://localhost:8083/map-check.local.html:79
[    6090ms] [LOG]   rawa_buaya: 1 POIs plotted @ http://localhost:8083/map-check.local.html:79
